Test_name,1,T,Ta,T_xx,V*T_x,T_x,P
RLC_HU_51D_1W_5C_DRP1_L_MOD1,0.0034296408,4.8300158e-06,-0.00019197026,8.87139257900402e-09,-0.0006780157,0.0,-4.4486583e-09
RLC_MU_251D_1W_20C_0DR_L_MOD1,-0.00037731035,-4.081815e-07,2.1597127e-05,5.168862880215888e-07,-0.012955473,0.0,-6.4810117e-09
RLC_HU_208D_0W_20C_DRP1_L_MOD1,-0.028859267,-5.225403e-05,0.001579185,-1.8871732502552097e-07,-0.01346293,0.0,2.9128316e-07
RLC_HU_196D_1W_20C_0DR_S_MOD1,3.366635e-06,0.0,-0.0,-6.750457420831849e-09,-0.0013528483,0.0,-1.2363368e-08
RLC_MU_139D_1W_10C_DRP2_L_MOD1,-0.015555175,-2.2292124e-05,0.00091620994,-3.863089903601458e-07,0.0012331121,-0.0,1.1793546e-07
RLC_MU_49D_1W_5C_0DR_L_MOD1,0.00014125745,1.6645073e-07,-7.2085127e-06,-4.0785233469332774e-09,-0.0036877233,0.0,-5.162334e-09
RLC_MU_49D_1W_5C_DRP1_L_MOD1,0.00013564501,0.0,-0.0,1.5415811423242779e-07,-0.019455537,0.0,1.1772127e-07
